,Gender2,Gender3,CountC,CountV,Start,End,start_letter,end_letter,plu_pattern,aug_vowel,source,derived_cat,semantic_cat,human,animate,semantic
0,0,0,4,1,1,1,4,13,1,0,3,12,5,0,0,12
1,0,0,4,1,1,1,24,13,0,0,3,12,5,0,0,2
2,1,1,5,2,1,1,14,7,0,0,3,5,1,0,0,5
3,0,0,2,2,1,0,4,6,2,0,3,1,5,0,0,19
4,1,1,4,0,1,1,14,9,1,0,3,12,5,0,0,4
5,1,1,4,0,1,1,14,9,1,0,3,12,5,0,0,6
6,1,1,5,0,1,1,10,13,0,0,0,3,3,1,1,18
7,1,1,0,0,0,0,25,25,4,0,3,7,5,0,0,7
8,1,1,4,1,1,0,14,16,1,0,3,5,1,0,0,6
9,1,1,4,1,1,1,3,18,0,0,3,12,4,0,0,6
10,1,1,4,1,1,1,8,13,1,0,3,12,1,0,1,1
11,1,1,4,1,1,1,14,1,0,0,0,6,3,1,1,2
12,1,1,3,1,1,1,21,13,0,0,3,12,5,0,0,13
13,1,1,5,1,1,1,10,14,0,0,3,3,3,1,1,12
14,1,1,3,2,1,0,21,16,1,0,3,12,4,0,0,0
15,1,2,3,2,1,0,19,6,0,0,3,12,5,0,1,1
16,1,2,3,2,1,0,11,16,1,0,3,3,5,1,1,18
17,1,1,3,1,1,1,14,10,1,0,3,12,1,0,0,13
18,1,2,3,2,1,1,10,18,0,0,3,12,5,0,1,0
19,1,2,3,2,1,1,4,9,0,0,3,12,5,0,1,1
20,0,0,6,1,1,1,8,14,1,0,3,12,0,0,0,6
21,1,1,3,2,1,0,14,0,0,0,3,12,5,0,0,7
22,0,0,3,1,1,1,10,20,3,0,3,1,5,0,0,14
23,1,2,3,1,1,1,10,20,0,0,3,3,5,1,1,14
24,1,1,3,1,1,1,14,10,3,0,3,1,5,0,0,2
25,1,1,3,1,1,1,14,7,3,0,3,1,5,0,0,6
26,1,1,4,1,1,1,14,13,0,0,3,1,5,0,0,12
27,1,2,4,1,1,1,10,13,0,0,0,3,5,1,1,7
28,1,1,4,1,1,0,14,16,3,0,3,1,5,0,0,12
29,1,1,3,1,1,0,19,16,3,0,3,1,5,0,0,19
30,0,0,2,2,1,0,4,6,3,0,3,1,5,0,0,2
31,1,1,5,1,1,1,14,13,3,0,3,1,5,0,0,19
32,0,0,5,2,1,1,14,7,3,0,3,1,5,0,0,12
33,1,1,4,1,1,1,14,20,3,0,3,1,5,0,0,19
34,1,1,3,1,1,0,8,16,3,0,3,1,5,0,0,17
35,1,1,3,2,1,0,21,16,3,0,3,1,5,0,0,17
36,1,1,3,1,1,1,10,7,3,0,3,1,5,0,0,17
37,0,0,3,2,1,0,10,6,3,0,3,7,5,0,0,19
38,1,1,3,1,1,1,2,17,0,0,3,1,5,0,0,6
39,0,0,3,1,1,1,18,7,3,0,3,1,5,0,0,19
40,1,1,3,1,1,1,14,9,0,0,3,1,5,0,0,19
41,1,1,5,1,1,1,21,21,2,0,3,1,5,0,0,11
42,1,1,2,2,1,0,14,6,3,0,3,1,5,0,0,11
43,1,1,3,1,1,1,14,14,3,0,3,1,5,0,0,19
44,1,1,3,1,1,1,14,9,3,0,3,1,5,0,0,19
45,1,1,4,2,1,0,10,16,2,0,3,1,5,0,0,12
46,1,1,5,1,1,1,14,13,0,0,3,1,4,0,0,19
47,1,1,4,1,1,1,8,7,3,0,3,1,5,0,0,10
48,1,1,4,1,1,1,22,9,1,0,3,1,5,0,0,19
49,1,1,2,1,1,1,14,2,2,0,3,1,1,0,0,2
50,1,1,3,1,1,1,14,10,0,0,3,1,5,0,0,12
51,0,0,2,2,1,0,2,6,3,0,3,1,5,0,0,19
52,0,0,5,1,1,1,10,13,3,0,3,1,5,0,0,12
53,1,1,4,1,1,1,11,14,3,0,3,1,5,0,0,12
54,1,1,3,1,1,1,18,10,3,0,3,1,5,0,0,10
55,1,1,6,1,1,1,14,10,3,0,3,1,5,0,0,12
56,1,1,5,1,1,1,14,14,3,0,3,1,5,0,0,19
57,1,1,4,1,1,1,14,9,3,0,3,1,5,0,0,5
58,1,1,4,1,1,0,10,6,1,0,0,12,3,1,1,21
59,1,1,4,1,1,1,9,23,0,0,3,12,5,0,1,1
60,1,2,3,1,1,1,23,11,0,0,0,1,5,1,1,14
61,1,1,4,1,1,1,14,10,3,0,3,3,5,0,0,17
62,1,1,3,0,1,1,11,9,3,0,3,5,5,0,0,12
63,1,1,4,1,1,1,10,18,3,0,3,12,5,0,0,12
64,1,1,3,1,1,1,11,18,3,0,3,5,5,0,0,12
65,1,1,4,1,1,1,14,14,1,0,3,5,1,0,0,12
66,1,1,3,1,1,1,3,14,3,0,3,1,5,0,0,12
67,1,1,3,1,1,1,11,13,0,0,3,12,5,0,0,13
68,1,1,4,2,1,1,9,2,0,0,0,12,1,0,0,12
69,1,2,4,1,1,1,9,2,1,0,3,12,5,0,1,1
70,1,2,3,1,1,1,19,1,0,0,0,12,5,1,1,18
71,1,1,3,2,1,0,5,6,0,0,0,3,3,1,1,7
72,1,2,6,1,1,1,10,9,1,0,3,3,5,1,1,18
73,0,0,4,1,1,1,9,20,0,0,0,12,0,0,0,2
74,0,0,4,1,1,1,13,10,0,0,3,12,5,0,0,7
75,1,2,3,1,1,1,12,10,0,0,0,12,5,1,1,20
76,1,2,4,1,1,1,20,9,1,0,3,12,5,0,1,1
77,1,1,4,1,1,1,24,9,0,0,3,12,1,0,0,3
78,1,1,4,1,1,1,14,14,0,0,3,12,5,0,0,20
79,1,1,4,1,1,1,14,13,3,0,3,1,5,0,0,7
80,1,2,4,1,1,1,10,2,1,0,3,3,5,0,1,1
81,0,0,3,1,1,0,2,0,3,0,3,12,5,0,0,20
82,1,1,3,2,1,1,12,2,0,0,3,12,5,0,0,14
83,1,1,4,1,1,1,9,10,3,0,3,1,5,0,0,11
84,1,1,4,1,1,0,14,6,3,0,3,1,5,0,0,11
85,1,1,3,1,1,1,18,4,3,0,3,1,5,0,0,18
86,1,2,3,1,1,1,14,14,1,0,3,12,5,0,1,1
87,1,2,5,0,1,1,10,8,0,0,0,3,5,1,1,18
88,1,2,3,1,1,1,21,8,0,0,0,3,5,1,1,18
89,1,2,4,1,1,1,11,3,1,0,3,3,5,0,1,12
90,1,2,5,2,1,0,11,16,1,0,0,3,5,1,1,2
91,1,2,3,2,1,1,18,9,0,0,3,3,5,1,1,2
92,1,1,3,0,1,1,14,14,1,0,3,12,1,0,0,0
93,0,0,5,0,1,1,9,13,0,0,0,12,5,0,0,16
94,1,1,4,2,1,1,21,13,1,0,3,12,3,1,1,14
95,1,2,3,2,1,1,1,2,0,0,3,3,5,1,1,2
96,1,1,3,1,1,1,2,7,3,0,3,1,5,0,0,2
97,1,1,2,2,1,0,2,16,1,0,3,12,1,0,0,3
98,1,1,4,1,1,1,22,9,1,0,3,5,1,0,0,4
99,0,0,2,1,1,1,8,13,0,0,0,12,0,0,0,12
100,1,1,4,1,1,1,21,2,3,0,0,12,5,0,0,3
101,1,1,2,1,1,0,4,0,2,0,3,12,1,0,0,12
102,1,2,3,1,1,1,21,2,1,0,3,12,5,0,1,1
103,1,2,4,1,1,1,1,21,0,0,3,3,5,0,1,18
104,1,2,4,1,1,1,8,2,0,0,3,3,5,0,1,18
105,1,1,4,2,1,0,20,16,1,0,3,12,1,0,0,11
106,1,1,3,2,1,0,1,16,1,0,2,12,1,0,0,11
107,1,1,4,1,1,1,18,13,3,0,3,12,5,0,0,19
108,1,1,3,2,1,0,1,0,2,0,3,12,1,0,0,3
109,1,1,3,2,1,0,1,0,2,0,3,12,1,0,0,3
110,1,1,4,1,1,1,3,9,0,0,3,12,1,0,0,3
111,1,1,4,1,1,1,19,14,1,0,3,12,1,0,0,11
112,1,2,4,1,1,1,19,10,0,0,0,12,5,1,1,18
