,Gender2,Gender3,CountC,CountV,Start,End,start_letter,end_letter,plu_pattern,aug_vowel,source,derived_cat,semantic_cat,human,animate,semantic,sexgen
0,Feminine,Feminine,4,1,1,1,g,r,Internal,A,Native,Underived,,N,N,Physical Acts & Materials,
1,Feminine,Feminine,4,1,1,1,χ,r,External,A,Native,Underived,,N,N,Body Parts & Functions,
2,Masculine,Masculine,5,2,1,1,s,j,External,A,Native,Instrumental Nouns,5-DIM,N,N,Emotion,
3,Feminine,Feminine,2,2,1,0,g,i,Mixed,A,Native,Action Nouns,,N,N,Spatial Relations,
4,Masculine,Masculine,4,0,1,1,s,l,Internal,A,Native,Underived,,N,N,Dwellings & Furniture,
5,Masculine,Masculine,4,0,1,1,s,l,Internal,A,Native,Underived,,N,N,Food & Drink,
6,Masculine,Masculine,5,0,1,1,m,r,External,A,Arabic-Assimilated,Agentives,5-POLY,Y,Y,Social Relations,NonSpec
7,Masculine,Masculine,0,0,0,0,,,Only Plural,A,Native,Result of Verbal Action - WIP,,N,N,Language & Music,
8,Masculine,Masculine,4,1,1,0,s,u,Internal,A,Native,Instrumental Nouns,5-DIM,N,N,Food & Drink,
9,Masculine,Masculine,4,1,1,1,f,z,External,A,Native,Underived,5-UNIT,N,N,Food & Drink,
10,Masculine,Masculine,4,1,1,1,k,r,Internal,A,Native,Underived,5-DIM,N,Y,Animals,NonSpec
11,Masculine,Masculine,4,1,1,1,s,b,External,A,Arabic-Assimilated,Occupational Nouns,5-POLY,Y,Y,Body Parts & Functions,NonSpec
12,Masculine,Masculine,3,1,1,1,ʃ,r,External,A,Native,Underived,,N,N,Physical World,
13,Masculine,Masculine,5,1,1,1,m,s,External,A,Native,Agentives,5-POLY,Y,Y,Physical Acts & Materials,NonSpec
14,Masculine,Masculine,3,2,1,0,ʃ,u,Internal,A,Native,Underived,5-UNIT,N,N,Agriculture & Vegetation,
15,Masculine,Neutral,3,2,1,0,ħ,i,External,A,Native,Underived,,N,Y,Animals,NonSpec
16,Masculine,Neutral,3,2,1,0,n,u,Internal,A,Native,Agentives,,Y,Y,Social Relations,NonSpec
17,Masculine,Masculine,3,1,1,1,s,m,Internal,A,Native,Underived,5-DIM,N,N,Physical World,
18,Masculine,Neutral,3,2,1,1,m,z,External,A,Native,Underived,,N,Y,Agriculture & Vegetation,NonSpec
19,Masculine,Neutral,3,2,1,1,g,l,External,A,Native,Underived,,N,Y,Animals,NonSpec
20,Feminine,Feminine,6,1,1,1,k,s,Internal,A,Native,Underived,1-AUG,N,N,Food & Drink,
21,Masculine,Masculine,3,2,1,0,s,a,External,A,Native,Underived,,N,N,Language & Music,
22,Feminine,Feminine,3,1,1,1,m,ʁ,No Plural,A,Native,Action Nouns,,N,N,Possession & Trade,
23,Masculine,Neutral,3,1,1,1,m,ʁ,External,A,Native,Agentives,,Y,Y,Possession & Trade,NonSpec
24,Masculine,Masculine,3,1,1,1,s,m,No Plural,A,Native,Action Nouns,,N,N,Body Parts & Functions,
25,Masculine,Masculine,3,1,1,1,s,j,No Plural,A,Native,Action Nouns,,N,N,Food & Drink,
26,Masculine,Masculine,4,1,1,1,s,r,External,A,Native,Action Nouns,,N,N,Physical Acts & Materials,
27,Masculine,Neutral,4,1,1,1,m,r,External,A,Arabic-Assimilated,Agentives,,Y,Y,Language & Music,NonSpec
28,Masculine,Masculine,4,1,1,0,s,u,No Plural,A,Native,Action Nouns,,N,N,Physical Acts & Materials,
29,Masculine,Masculine,3,1,1,0,ħ,u,No Plural,A,Native,Action Nouns,,N,N,Spatial Relations,
30,Feminine,Feminine,2,2,1,0,g,i,No Plural,A,Native,Action Nouns,,N,N,Body Parts & Functions,
31,Masculine,Masculine,5,1,1,1,s,r,No Plural,A,Native,Action Nouns,,N,N,Spatial Relations,
32,Feminine,Feminine,5,2,1,1,s,j,No Plural,A,Native,Action Nouns,,N,N,Physical Acts & Materials,
