y_analysisGender2Category,y_analysisGender3Category,analysisHasSecondaryMorphYN,analysisMutability,m_analysisPluralPattern,m_analysisRAugVowel,analysisSemanticCoreYN,analysisSingularTheme,p_analysisThemeCV,p_analysisThemeFinalSegment,p_analysisThemeInitialSegment,s_lexiconAnimateYN,lexiconGlossEnglish,lexiconGlossFrench,s_lexiconHumanYN,m_lexiconLoanwordSource,s_lexiconSemanticField,s_lexiconSexGender,recordID,m_wordDerivedCategory,wordLexBitVector,m_wordNumSemanticCategory
Feminine,Feminine,,Fixed-Fem,Internal,A,N,gʃrir,CCCVC,r,g,N,balance (tool),balance,N,Native,Physical Acts & Materials,,7,Underived,0000-1111,
Feminine,Feminine,,Fixed-Fem,External,A,N,χʷsmar,CCCVC,r,χ,N,beardless chin,menton imberbe,N,Native,Body Parts & Functions,,8,Underived,0000-1111,
Masculine,Masculine,Yes,Variable-Masc,External,A,N,skazzaj,CCVCCVC,j,s,N,screeching,crissement,N,Native,Emotion,,41,Instrumental Nouns,1111-1111,5-DIM
Feminine,Feminine,,Fixed-Fem,Mixed,A,N,guri,CVCV,i,g,N,oversize,dépassement en taille,N,Native,Spatial Relations,,44,Action Nouns,0000-1111,
Masculine,Masculine,,Fixed-Masc,Internal,A,N,sksl,CCCC,l,s,N,type of window,type de fenêtre,N,Native,Dwellings & Furniture,,47,Underived,1111-0000,
Masculine,Masculine,,Fixed-Masc,Internal,A,N,smkl,CCCC,l,s,N,food container,récipient pour nourriture,N,Native,Food & Drink,,48,Underived,1111-0000,
Masculine,Masculine,Yes,Variable-Masc,External,A,N,mʕʃʃr,CCCCC,r,m,Y,"fellow, companion",compagnon,Y,Arabic-Assimilated,Social Relations,NonSpec,49,Agentives,1111-1111,5-POLY
Masculine,Masculine,,Fixed-Masc,Only Plural,A,N,,,,,N,nonsense,balivernes,N,Native,Language & Music,,50,Result of Verbal Action - WIP,0011-0000,
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,ssndu,CCCCV,u,s,N,wooden shaker of a wineskin for churning milk (for butter),mancheron d'outre (lait),N,Native,Food & Drink,,51,Instrumental Nouns,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,External,A,N,!frziz,CCCVC,z,f,N,gourd,coloquinte,N,Native,Food & Drink,,54,Underived,1111-1111,5-UNIT
Masculine,Masculine,Yes,Variable-Masc,Internal,A,N,kntur,CCCVC,r,k,Y,goat,bouc,N,Native,Animals,NonSpec,56,Underived,1111-1111,5-DIM
Masculine,Masculine,Yes,Variable-Masc,External,A,N,sbbab,CCCVC,b,s,Y,person who helps with birth,personne qui aide à la mise bas,Y,Arabic-Assimilated,Body Parts & Functions,NonSpec,58,Occupational Nouns,1111-1111,5-POLY
Masculine,Masculine,,Fixed-Masc,External,A,N,!ʃbar,CCVC,r,ʃ,N,promontory dominating a locality,promontoire dominant une localité,N,Native,Physical World,,60,Underived,1111-0000,
