,Features,Model,accuracy,precision,recall,f1,roc-auc,brier
0,morphology,ls,0.82,0.85,0.92,0.88,0.84,0.13
1,morphology,knn,0.8,0.84,0.91,0.87,0.79,0.15
2,phonology,ls,0.8,0.81,0.95,0.87,0.77,0.15
3,phonology,knn,0.79,0.82,0.91,0.86,0.73,0.16
4,semantic,ls,0.74,0.76,0.97,0.85,0.7,0.17
5,semantic,knn,0.71,0.77,0.88,0.82,0.63,0.2
6,phon+morph,ls,0.84,0.86,0.94,0.9,0.9,0.11
7,phon+morph,knn,0.84,0.86,0.93,0.9,0.85,0.12
8,phon+sem,ls,0.81,0.83,0.93,0.88,0.82,0.14
9,phon+sem,knn,0.8,0.83,0.91,0.87,0.77,0.15
10,morph+sem,ls,0.82,0.85,0.93,0.89,0.87,0.12
11,morph+sem,knn,0.79,0.84,0.9,0.87,0.81,0.15
12,all,ls,0.85,0.88,0.93,0.9,0.91,0.1
13,all,knn,0.84,0.87,0.93,0.9,0.86,0.12
